dataset,min_pval_exp,min_pval_theta
208,4.782517e-05,4.782517e-05
209,4.782517e-05,4.782517e-05
210,3.606576e-04,3.606576e-04
211,9.036843e-04,9.036843e-04
212,3.772991e-04,5.626513e-04
213,4.822531e-04,4.822531e-04
214,4.782517e-05,4.782517e-05
215,3.215021e-05,3.215021e-05
216,3.731231e-04,4.466104e-04
217,3.627680e-04,3.627680e-04
218,2.480159e-04,2.480159e-04
219,8.680556e-04,8.680556e-04
220,3.338887e-04,3.338887e-04
221,6.944444e-05,6.944444e-05
222,4.822531e-04,4.822531e-04
223,3.549928e-04,3.549928e-04
224,4.782517e-05,4.782517e-05
225,1.984127e-04,1.984127e-04
226,3.576586e-04,3.576586e-04
227,3.943130e-04,3.943130e-04
228,5.171555e-05,7.076540e-05
229,3.962661e-04,4.938272e-04
230,9.645062e-04,9.645062e-04
231,2.893519e-04,2.893519e-04
232,6.944444e-05,6.944444e-05
233,3.502166e-04,3.502166e-04
234,9.308491e-04,9.308491e-04
235,8.680556e-04,7.915850e-04
236,5.732535e-05,5.732535e-05
237,4.581806e-04,4.581806e-04
238,1.984127e-05,1.984127e-05
239,3.775408e-04,3.775408e-04
240,3.541380e-04,3.541380e-04
241,9.773663e-05,4.938272e-04
242,3.732089e-04,3.732089e-04
243,4.090417e-04,4.090417e-04
244,4.782517e-05,4.782517e-05
245,4.271859e-04,5.553116e-04
246,4.193047e-04,4.193047e-04
247,4.246864e-04,7.080973e-04
248,8.330556e-04,8.330556e-04
249,6.944444e-05,6.944444e-05
250,3.820949e-04,3.820949e-04
251,3.332223e-04,3.332223e-04
