dataset,min_pval_exp,min_pval_theta
772,6.862745e-04,6.862745e-04
773,1.048951e-03,1.048951e-03
774,4.974532e-03,4.974532e-03
775,2.121212e-03,2.121212e-03
776,2.825457e-05,2.825457e-05
777,1.206130e-03,1.206130e-03
778,1.486684e-03,1.486684e-03
779,9.411422e-04,9.411422e-04
780,1.574112e-03,1.570422e-03
781,3.282432e-04,3.282432e-04
782,2.947735e-03,2.947735e-03
783,3.665445e-03,3.665445e-03
784,3.636364e-03,3.636364e-03
785,3.052503e-04,3.052503e-04
786,7.145766e-03,7.197601e-03
787,3.075898e-03,3.075898e-03
788,4.978355e-04,4.978355e-04
789,4.610564e-04,4.610564e-04
790,6.590632e-04,6.590632e-04
791,6.474032e-04,6.474032e-04
792,4.813675e-03,4.813675e-03
793,3.041721e-03,4.001280e-03
794,1.021874e-03,1.831502e-03
795,3.144251e-03,3.144251e-03
796,7.902128e-04,7.902128e-04
797,3.331071e-03,3.331071e-03
798,7.162331e-04,1.653045e-03
799,5.208333e-03,5.208333e-03
800,5.285191e-03,5.285191e-03
801,2.973368e-03,2.973368e-03
802,3.856523e-04,3.856523e-04
803,2.594628e-03,2.594628e-03
804,3.198934e-03,3.198934e-03
805,3.449844e-04,3.449844e-04
806,1.400560e-04,1.400560e-04
807,2.101074e-05,2.101074e-05
808,1.399993e-04,1.399993e-04
809,4.483354e-03,4.483354e-03
810,4.015216e-04,4.015216e-04
811,2.502662e-03,2.502662e-03
812,1.144640e-03,1.144640e-03
813,1.255992e-03,1.255992e-03
814,6.268307e-04,6.268307e-04
815,3.152795e-03,3.152795e-03
816,5.550006e-04,5.550006e-04
817,1.831502e-03,1.831502e-03
818,2.594628e-03,2.594628e-03
819,1.147741e-03,1.147741e-03
820,2.453728e-03,2.453728e-03
821,8.458719e-04,8.458719e-04
822,7.528357e-05,7.528357e-05
823,8.074232e-04,8.074232e-04
824,4.535147e-03,4.535147e-03
825,4.792053e-04,4.792053e-04
826,9.758652e-04,9.758652e-04
827,3.443878e-03,3.443878e-03
828,7.515532e-04,7.515532e-04
829,2.409453e-03,2.409453e-03
830,4.578755e-04,4.578755e-04
831,5.550006e-04,5.550006e-04
832,7.648030e-04,7.648030e-04
833,5.523577e-04,5.523577e-04
834,2.922103e-03,2.922103e-03
835,1.348139e-03,1.348139e-03
836,1.147741e-03,1.147741e-03
837,5.523577e-04,5.523577e-04
838,1.145913e-03,1.145913e-03
839,2.556967e-03,2.556967e-03
840,7.648030e-04,7.648030e-04
841,2.821282e-03,2.821282e-03
842,2.819573e-03,2.819573e-03
843,2.871665e-03,2.871665e-03
844,7.215007e-04,7.215007e-04
845,4.142683e-04,4.142683e-04
846,1.719643e-03,1.719643e-03
847,2.511871e-03,2.511871e-03
848,2.066500e-03,2.066500e-03
849,4.870130e-03,4.870130e-03
850,7.817907e-04,7.817907e-04
851,7.215007e-04,7.215007e-04
852,1.147741e-03,1.147741e-03
853,6.541078e-04,6.541078e-04
854,9.259259e-04,9.259259e-04
855,1.327676e-03,1.327676e-03
856,6.003899e-03,6.003899e-03
857,5.141143e-04,5.141143e-04
858,5.197184e-04,5.197184e-04
859,5.456057e-04,5.456057e-04
860,2.399799e-03,2.398587e-03
861,4.978355e-04,4.978355e-04
862,2.164502e-03,2.164502e-03
863,5.969307e-03,5.966338e-03
864,7.433420e-04,7.433420e-04
865,7.042829e-04,7.042829e-04
866,6.920770e-04,6.920770e-04
867,1.229244e-03,1.229244e-03
868,7.120153e-04,7.120153e-04
869,8.888889e-04,8.888889e-04
870,3.681756e-04,3.681756e-04
871,1.748252e-03,1.748252e-03
872,3.123067e-03,3.123067e-03
873,6.261649e-04,6.261649e-04
