pattern,n_nodes,n_edges,s_exp,s_theta,pval_exp,pval_theta
CDKN2A_M-?-NOTCH1_N CDKN2A_M-?-TP53_M NOTCH1_N-?-TP53_M,3,3,2.000000,2,,5.714286e-01
TP53_M->-COL5A2_M,2,1,4.000000,4,,3.199964e-03
NOTCH1_M-?-TP53_M,2,1,4.000000,4,,1.875000e-01
FAT1_N-?-NOTCH1_M FAT1_N-?-TP53_M NOTCH1_M-?-TP53_M,3,3,2.000000,2,,3.906250e-01
PTEN_N-?-TP53_M,2,1,3.000000,3,,1.800000e-01
PBRM1_M-?-PIK3CA_M,2,1,3.000000,3,,3.333333e-01
PBRM1_M-?-TP53_M,2,1,3.000000,3,,8.305322e-01
PBRM1_M-?-PIK3CA_M PBRM1_M-?-TP53_M PIK3CA_M-?-TP53_M,3,3,2.000000,2,,1.000000e+00
NFE2L2_M-?-PIK3CA_M,2,1,3.000000,3,,5.911111e-01
NFE2L2_M-?-PIK3CA_M NFE2L2_M-?-TP53_M PIK3CA_M-?-TP53_M,3,3,2.000000,2,,1.000000e+00
ASXL1_M-?-TP53_M,2,1,4.000000,4,,8.461538e-01
CDKN2A_N-?-CUX1_M,2,1,3.000000,3,,5.897436e-01
FLT4_M-?-TP53_M,2,1,3.000000,3,,6.071429e-01
ARHGAP35_M-?-TP53_M,2,1,3.000000,3,,7.748724e-01
ANK2_N-?-KRAS_M,2,1,4.000000,4,,8.809524e-01
CDKN2A_N-?-KEAP1_M,2,1,3.000000,3,,4.607407e-01
CDKN2A_N-?-KEAP1_M CDKN2A_N-?-TP53_M KEAP1_M-?-TP53_M,3,3,2.000000,2,,1.166667e-01
CDKN2A_N-?-KEAP1_M CDKN2A_N-?-KRAS_M KEAP1_M-?-KRAS_M,3,3,2.000000,2,,2.916667e-01
STK11_M-?-TP53_N,2,1,3.000000,3,,6.209365e-01
KRAS_M-?-STK11_M KRAS_M-?-TP53_N STK11_M-?-TP53_N,3,3,2.000000,2,,2.049351e-01
BRCA1_M-?-TP53_N,2,1,2.000000,2,,4.487179e-01
GRIN2A_N-?-KRAS_M,2,1,2.000000,2,,3.571429e-01
TP53_M->-DNAH12_M,2,1,4.000000,4,,5.462458e-02
APC_M-?-FH_M APC_M-?-TP53_M FH_M-?-TP53_M,3,3,2.000000,2,,6.265664e-02
TP53_M->-EP300_M,2,1,4.000000,4,,4.091654e-02
SMARCA4_M-?-STK11_N,2,1,2.000000,2,,7.105612e-01
GRIN2A_M-?-PTPRC_M,2,1,2.000000,2,,3.689459e-01
NF1_M-?-RYR2_N NF1_M-?-TP53_M RYR2_N-?-TP53_M,3,3,2.000000,2,,2.604167e-01
DICER1_N-?-KRAS_M,2,1,2.000000,2,,4.375000e-01
TP53_M->-STK11_M,2,1,4.000000,4,,9.064152e-02
KRAS_M-?-SMARCA4_N,2,1,3.000000,3,,7.141357e-01
KRAS_M->-PPP3CA_M,2,1,4.000000,4,,1.948056e-02
KRAS_M-?-POT1_M,2,1,4.000000,4,,8.666667e-02
TP53_M->-TET2_M,2,1,4.000000,4,,2.582812e-02
KRAS_M->-TET2_M KRAS_M-?-TP53_M TP53_M->-TET2_M,3,3,2.000000,2,,3.030303e-02
ADCY2_N-?-CDKN2A_M ADCY2_N-?-TP53_M CDKN2A_M-?-TP53_M,3,3,2.000000,2,,1.142857e-01
FAT1_M-?-IKZF1_M FAT1_M-?-TP53_M IKZF1_M-?-TP53_M,3,3,3.000000,3,,4.014706e-01
APC_M-?-SMARCA4_M APC_M-?-TP53_M SMARCA4_M-?-TP53_M,3,3,2.000000,2,,2.916667e-01
KMT2D_M-?-MTOR_M KMT2D_M-?-RIMS2_N MTOR_M-?-RIMS2_N,3,3,2.000000,2,,6.593407e-02
KRAS_M->-FAT1_M,2,1,4.000000,4,,9.285186e-03
KRAS_M->-FAT1_M KRAS_M-?-TP53_M TP53_M->-FAT1_M,3,3,2.000000,2,,7.562068e-02
KEAP1_M-?-SMARCA4_M,2,1,3.000000,3,,4.668444e-01
DICER1_M-?-SMARCA4_M,2,1,2.000000,2,,5.164279e-01
CREBBP_M-?-SMARCA4_M CREBBP_M-?-TP53_M SMARCA4_M-?-TP53_M,3,3,2.000000,2,,2.310862e-01
