pattern,n_nodes,n_edges,s_exp,s_theta,pval_exp,pval_theta
PIK3CA->-SPEN PIK3CA->-TP53 TP53->-SPEN,3,3,3.000000,3,1.438272e-02,
PIK3CA->-NF1,2,1,9.000000,9,7.688457e-01,
PIK3CA->-NF1 TP53->-NF1 TP53->-PIK3CA,3,3,2.000000,2,5.527937e-01,
PIK3CA->-NF1 PIK3CA->-TP53 TP53->-NF1,3,3,2.000000,2,5.527937e-01,
KMT2C->-GATA3,2,1,9.000000,9,2.547826e-01,
KMT2C->-GATA3 KMT2C->-PIK3CA PIK3CA->-GATA3,3,3,2.000000,2,3.222256e-01,
TP53->-EPHB1,2,1,9.000000,9,1.516956e-03,
ARID1A->-GATA3,2,1,9.000000,9,7.042757e-01,
ARID1A->-GATA3 ARID1A->-PIK3CA PIK3CA->-GATA3,3,3,2.000000,2,3.429348e-01,
AKT1->-CDH1,2,1,9.000000,9,4.346004e-01,
AKT1->-CDH1 AKT1->-TP53 CDH1->-TP53,3,3,3.000000,3,2.584877e-02,
PIK3CA->-ARID2,2,1,9.000000,9,4.214578e-02,
PIK3CA->-ARID2 PIK3CA->-TP53 TP53->-ARID2,3,3,4.000000,4,3.844151e-03,
TP53->-ROS1,2,1,9.000000,9,4.104677e-02,
PIK3CA->-MAP2K4,2,1,9.000000,9,9.608399e-01,
CDH1->-MAP2K4,2,1,9.000000,9,4.142901e-02,
CDH1->-MAP2K4 CDH1->-PIK3CA MAP2K4->-PIK3CA,3,3,2.000000,2,2.842016e-01,
CDH1->-MAP2K4 CDH1->-TP53 TP53->-MAP2K4,3,3,2.000000,2,7.717403e-02,
CDH1->-CDK12 CDH1->-TP53 TP53->-CDK12,3,3,2.000000,2,6.270305e-03,
CDH1->-MAP2K4 PIK3CA->-CDH1 PIK3CA->-MAP2K4,3,3,2.000000,2,2.842016e-01,
TP53->-RICTOR,2,1,9.000000,9,2.797800e-04,
PIK3CA->-RICTOR PIK3CA->-TP53 TP53->-RICTOR,3,3,2.000000,2,7.789543e-02,
PIK3CA->-BRCA1 PIK3CA->-TP53 TP53->-BRCA1,3,3,2.000000,2,8.613040e-02,
PTEN->-NF1,2,1,9.000000,9,3.007119e-02,
PTEN->-NF1 TP53->-NF1 TP53->-PTEN,3,3,5.000000,5,8.373249e-03,
PTEN->-NF1 PTEN->-TP53 TP53->-NF1,3,3,3.000000,3,1.724915e-01,
AKT1->-GATA3,2,1,9.000000,9,2.434431e-02,
TP53->-ANKRD11,2,1,9.000000,9,1.524575e-03,
TP53->-ZFHX3,2,1,9.000000,9,2.318386e-02,
PIK3CA->-PTPRD,2,1,9.000000,9,6.140115e-04,
PIK3CA->-PTPRD TP53->-PIK3CA TP53->-PTPRD,3,3,2.000000,2,2.578668e-02,
TP53->-ERCC5,2,1,9.000000,9,6.526492e-04,
TP53->-SF3B1,2,1,9.000000,9,1.128472e-03,
PIK3CA->-SF3B1 TP53->-PIK3CA TP53->-SF3B1,3,3,2.000000,2,2.632245e-01,
PIK3CA->-SF3B1 PIK3CA->-TP53 TP53->-SF3B1,3,3,4.000000,4,8.701989e-03,
PIK3CA->-POLE,2,1,9.000000,9,5.266606e-03,
TP53->-ARID5B,2,1,9.000000,9,3.924262e-03,
TP53->-POLE,2,1,9.000000,9,4.784257e-04,
PIK3CA->-POLE PIK3CA->-TP53 TP53->-POLE,3,3,5.000000,5,2.485098e-04,
TP53->-TET2,2,1,9.000000,9,8.116883e-04,
ATM->-PIK3CA,2,1,8.000000,8,7.377644e-01,
FOXA1->-MAP3K1,2,1,8.000000,8,1.453193e-01,
FOXA1->-MAP3K1 PIK3CA->-FOXA1 PIK3CA->-MAP3K1,3,3,3.000000,3,1.608945e-01,
CDH1->-FOXA1 CDH1->-MAP3K1 CDH1->-PIK3CA FOXA1->-MAP3K1 PIK3CA->-FOXA1 PIK3CA->-MAP3K1,4,6,2.000000,2,5.063657e-03,
